folio,plan,plazos,precio,anticipo,semanal,total,pagado,pagoMontoFijado,pagoMontoCorriente,pagoMontoRecibido
543,nuevo,35,5299.0,999.0,258.0,10029.0,7,10032.0,2547.0,999.0
544,nuevo,43,5899.0,624.5,208.53,9591.15,36,9578.93,7923.05,3337.74
545,nuevo,43,3799.0,379.9,182.88,8243.83,20,8229.57,3854.62,2591.58
546,nuevo,35,3799.0,799.0,180.0,7099.0,12,7009.0,2779.0,1897.0
547,nuevo,15,3999.0,799.0,320.0,5599.0,2,5599.0,1119.0,1119.0
548,nuevo,15,3799.0,799.0,300.0,5298.97,9,5298.97,3199.0,3199.0
550,nuevo,35,5999.0,1000.0,299.94,11497.9,19,11497.24,6398.92,3399.64
551,nuevo,43,9199.0,1249.0,314.3,14764.0,37,14770.9,12563.800000000001,4706.3
552,nuevo,43,3999.0,399.9,192.51,8677.83,10,8670.91,2132.49,785.41
553,nuevo,50,7738.0,0.0,154.76,7738.0,14,7736.32,2011.8799999999999,1393.8
554,nuevo,43,3799.0,799.0,160.0,7699.0,10,7701.82,2241.82,1279.0
555,nuevo,43,5999.0,599.9,288.79,13017.83,19,13028.410000000002,5798.120000000001,3199.01
556,nuevo,26,9099.0,1249.5,483.05,13808.7,27,13809.15,13809.15,5114.25
557,nuevo,26,3799.0,799.0,219.23,6499.0,9,6500.61,2552.84,799.0
558,renovacion,35,3999.0,0.0,188.52,6598.35,12,6597.870000000001,2073.7200000000003,2074.2000000000003
559,nuevo,20,5899.0,0.0,294.95,5899.0,17,5898.75,4719.2,589.95
560,nuevo,20,9099.0,0.0,454.95,9099.0,18,9099.0,7734.15,4094.5499999999997
561,nuevo,15,5799.0,999.0,480.0,8199.0,16,8209.0,8209.0,2929.0
562,nuevo,43,6399.0,639.9,308.05,13885.83,6,13882.03,2180.15,639.9
563,nuevo,43,9499.0,2499.0,374.42,18599.0,33,18588.56,14480.44,8117.04
564,nuevo,35,5999.0,1249.0,285.0,11224.0,26,11213.0,8374.0,4965.0
565,nuevo,43,5999.0,599.9,288.79,13017.83,14,13015.410000000002,4354.17,1757.48
566,nuevo,43,5299.0,999.0,230.0,10889.02,11,10889.02,3299.0,3299.0
567,nuevo,15,3799.0,799.0,300.0,5299.0,10,5299.0,3499.0,2899.0
568,nuevo,18,3799.0,799.0,283.33,5899.0,19,5686.95,5686.95,2578.36
569,nuevo,20,8199.0,0.0,409.95,8199.0,21,8229.6,8229.6,4540.05
